Variable;lbl;lbl2
nb_96;Nombre d'établissements - Autres services personnels;nb_96 : Nombre d'établissements - Autres services personnels
nb_99;Nombre d'établissements - Activités des organisations et organismes extraterritoriaux;nb_99 : Nombre d'établissements - Activités des organisations et organismes extraterritoriaux
bonus;Bonus Vélib;bonus : Bonus Vélib
bike_stands;Taille de la station (nombre de bornes);bike_stands : Taille de la station (nombre de bornes)
lat;Latitude;lat : Latitude
lon;Longitude;lon : Longitude
alt;Altitude;alt : Altitude
nbstand200;Nombre de bornes  à moins de 200m de la station;nbstand200 : Nombre de bornes  à moins de 200m de la station
nbstand500;Nombre de bornes  à moins de 500m de la station;nbstand500 : Nombre de bornes  à moins de 500m de la station
nbstand1000;Nombre de bornes  à moins de 1000m de la station;nbstand1000 : Nombre de bornes  à moins de 1000m de la station
hr5;Altitude relative par rapport aux 5 plus proches voisins;hr5 : Altitude relative par rapport aux 5 plus proches voisins
hr10;Altitude relative par rapport aux 10 plus proches voisins;hr10 : Altitude relative par rapport aux 10 plus proches voisins
distcentre;Distance au centre de Paris v1;distcentre : Distance au centre de Paris v1
distcentre2;Distance au centre de Paris v2;distcentre2 : Distance au centre de Paris v2
distbord;Distance au bord;distbord : Distance au bord
RATP;Distance à l'équipement le plus proche - station de métro/RER/tram;RATP : Distance à l'équipement le plus proche - station de métro/RER/tram
RATP2;Distance à l'équipement le plus proche - station de métro;RATP2 : Distance à l'équipement le plus proche - station de métro
A;Distance à l'équipement le plus proche - services;A : Distance à l'équipement le plus proche - services
B;Distance à l'équipement le plus proche - commerces;B : Distance à l'équipement le plus proche - commerces
B1;Distance à l'équipement le plus proche - grandes surfaces;B1 : Distance à l'équipement le plus proche - grandes surfaces
C1;Distance à l'équipement le plus proche - écoles;C1 : Distance à l'équipement le plus proche - écoles
C2;Distance à l'équipement le plus proche - collège;C2 : Distance à l'équipement le plus proche - collège
